task_a,task_b,pair,text_cosine_distance,behavior_cosine_distance,text_distance_percentile,behavior_distance_percentile,text_close_behavior_far,behavior_close_text_far
Iowa Gambling Task (IGT),Weather Prediction Task (Cards),Iowa Gambling Task (IGT) <-> Weather Prediction Task...,0.5944273640374668,0.18462774750103061,0.5380549682875264,0.3953488372093023,-0.1427061310782241,0.1427061310782241
choice task,exp3,choice task <-> exp3,0.769323306500418,0.25817327694631387,0.919661733615222,0.7758985200845666,-0.14376321353065535,0.14376321353065535
exp1,two-step task,exp1 <-> two-step task,0.6399738737650067,0.20994617790827275,0.6765327695560254,0.53276955602537,-0.14376321353065535,0.14376321353065535
Verbal Digit/Letter WM,contextual bandit task,Verbal Digit/Letter WM <-> contextual bandit task,0.576705778912177,0.1710269373768648,0.4608879492600423,0.31606765327695563,-0.14482029598308666,0.14482029598308666
Balloon Analogue Risk Task (BART),Iowa Gambling Task (IGT),Balloon Analogue Risk T... <-> Iowa Gambling Task (IGT),0.5915398068283433,0.18173945988133267,0.5274841437632135,0.38160676532769555,-0.14587737843551796,0.14587737843551796
columbia card task,n-back,columbia card task <-> n-back,0.6618325544021362,0.2203605307217028,0.7452431289640592,0.5993657505285412,-0.14587737843551796,0.14587737843551796
four-armed bandit task,go/no-go task,four-armed bandit task <-> go/no-go task,0.5135188777867459,0.1252255491384583,0.2357293868921776,0.08879492600422834,-0.14693446088794926,0.14693446088794926
Fixed-Set Intertemporal Choice,Four-Armed Bandit,Fixed-Set Intertemporal... <-> Four-Armed Bandit,0.5704773140663759,0.16760519833779186,0.4418604651162791,0.2938689217758985,-0.14799154334038056,0.14799154334038056
Two-Armed Bandit,exp2,Two-Armed Bandit <-> exp2,0.7973574158370635,0.2675604316172461,0.952431289640592,0.8044397463002114,-0.14799154334038056,0.14799154334038056
Multi-Step Sequential RL (3+ states),exp1,Multi-Step Sequential R... <-> exp1,0.6374267062247405,0.20705841721071871,0.6670190274841438,0.5190274841437632,-0.14799154334038056,0.14799154334038056
exp1,multi-step sequential decision task,exp1 <-> multi-step sequential d...,0.6206284346438319,0.19889829017630256,0.6215644820295984,0.47357293868921774,-0.14799154334038062,0.14799154334038062
digit span,exp1,digit span <-> exp1,0.5458351197746826,0.14747515598644012,0.3361522198731501,0.18710359408033828,-0.1490486257928118,0.1490486257928118
exp4,weather prediction task,exp4 <-> weather prediction task,0.5512849959479293,0.15302941316847074,0.36363636363636365,0.21458773784355178,-0.14904862579281186,0.14904862579281186
exp2,iowa gambling task,exp2 <-> iowa gambling task,0.851606682238778,0.29261204742367486,0.9904862579281184,0.8414376321353065,-0.14904862579281186,0.14904862579281186
Weather Prediction Task (Cards),exp0,Weather Prediction Task... <-> exp0,0.7100695902752919,0.24227720818546494,0.8594080338266384,0.7093023255813954,-0.15010570824524305,0.15010570824524305
category learning task,multi-step sequential decision task,category learning task <-> multi-step sequential d...,0.6247695512541118,0.2001849419702143,0.6321353065539113,0.4809725158562368,-0.15116279069767447,0.15116279069767447
Verbal Digit/Letter WM,four-armed bandit task,Verbal Digit/Letter WM <-> four-armed bandit task,0.5816803154237115,0.17326715382673252,0.48520084566596194,0.33192389006342493,-0.153276955602537,0.153276955602537
Columbia Card Task (CCT),n-back,Columbia Card Task (CCT) <-> n-back,0.6737245647850112,0.22488648661547428,0.7780126849894292,0.6247357293868921,-0.15327695560253707,0.15327695560253707
Two-Step Task (Daw),iowa gambling task,Two-Step Task (Daw) <-> iowa gambling task,0.6962194318274715,0.23494562720656398,0.8319238900634249,0.6775898520084567,-0.15433403805496826,0.15433403805496826
Two-Armed Bandit,two-step task,Two-Armed Bandit <-> two-step task,0.590439506233315,0.17945864758271846,0.5253699788583509,0.3699788583509514,-0.1553911205073995,0.1553911205073995
balloon analogue risk task,gambling task,balloon analogue risk t... <-> gambling task,0.5863469505703687,0.17679883241291228,0.5084566596194503,0.35306553911205074,-0.15539112050739956,0.15539112050739956
contextual bandit task,two-step task,contextual bandit task <-> two-step task,0.5567765196549603,0.15544408521627973,0.3879492600422833,0.22938689217758984,-0.15856236786469347,0.15856236786469347
exp3,two-armed bandit task,exp3 <-> two-armed bandit task,0.8255799687002637,0.27233900415711443,0.9767441860465116,0.8160676532769556,-0.16067653276955596,0.16067653276955596
iowa gambling task,weather prediction task,iowa gambling task <-> weather prediction task,0.5970486509118678,0.1824920183065104,0.547568710359408,0.386892177589852,-0.160676532769556,0.160676532769556
four-armed bandit task,go/no-go,four-armed bandit task <-> go/no-go,0.5163694259127712,0.1241327831511313,0.2463002114164905,0.08562367864693446,-0.16067653276955604,0.16067653276955604
Iowa Gambling Task (IGT),weather prediction task,Iowa Gambling Task (IGT) <-> weather prediction task,0.6029670509496492,0.18568437186530407,0.5655391120507399,0.40274841437632136,-0.16279069767441856,0.16279069767441856
Columbia Card Task (CCT),Multi-Step Sequential RL (3+ states),Columbia Card Task (CCT) <-> Multi-Step Sequential R...,0.5629490224334931,0.1581334650986711,0.4090909090909091,0.2463002114164905,-0.16279069767441862,0.16279069767441862
digit span,four-armed bandit task,digit span <-> four-armed bandit task,0.5572427807371744,0.15505626689109087,0.39112050739957716,0.226215644820296,-0.16490486257928116,0.16490486257928116
Two-Armed Bandit,exp3,Two-Armed Bandit <-> exp3,0.8385471957724737,0.27316977272310394,0.9841437632135307,0.8192389006342494,-0.16490486257928128,0.16490486257928128
Fixed-Set Intertemporal Choice,Two-Armed Bandit,Fixed-Set Intertemporal... <-> Two-Armed Bandit,0.5508021057403205,0.14832691648297547,0.36046511627906974,0.19133192389006343,-0.16913319238900631,0.16913319238900631
Four-Armed Bandit,go/no-go task,Four-Armed Bandit <-> go/no-go task,0.5262593997643229,0.12819028035974622,0.26955602536997886,0.10042283298097252,-0.16913319238900634,0.16913319238900634
contextual bandit task,go/no-go,contextual bandit task <-> go/no-go,0.5351914665810562,0.1364560134653603,0.30021141649048627,0.12790697674418605,-0.17230443974630022,0.17230443974630022
Go/No-Go (withhold),Verbal Digit/Letter WM,Go/No-Go (withhold) <-> Verbal Digit/Letter WM,0.5382523164136475,0.1382673947996681,0.3128964059196617,0.13742071881606766,-0.17547568710359407,0.17547568710359407
category learning task,digit span,category learning task <-> digit span,0.5524633097250703,0.14928384939560602,0.37103594080338265,0.1945031712473573,-0.17653276955602534,0.17653276955602534
Multi-Step Sequential RL (3+ states),columbia card task,Multi-Step Sequential R... <-> columbia card task,0.5528372425443138,0.14960949669169077,0.37315010570824525,0.19661733615221988,-0.17653276955602537,0.17653276955602537
contextual bandit task,go/no-go task,contextual bandit task <-> go/no-go task,0.5383381044833402,0.13850137611076785,0.3150105708245243,0.13847780126849896,-0.17653276955602537,0.17653276955602537
Unidimensional Threshold Rule,multi-step sequential decision task,Unidimensional Threshol... <-> multi-step sequential d...,0.6410183205021304,0.20448269691421683,0.6818181818181818,0.5052854122621564,-0.17653276955602537,0.17653276955602537
exp0,weather prediction task,exp0 <-> weather prediction task,0.7083857731422794,0.2334933823098292,0.8530655391120507,0.6733615221987315,-0.17970401691331928,0.17970401691331928
Four-Armed Bandit,go/no-go,Four-Armed Bandit <-> go/no-go,0.5288523796336545,0.12692754255888195,0.27801268498942916,0.09619450317124736,-0.1818181818181818,0.1818181818181818
choice task,exp2,choice task <-> exp2,0.7461697390081046,0.2463358798769284,0.904862579281184,0.7177589852008457,-0.18710359408033828,0.18710359408033828
Two-Step Task (Daw),exp0,Two-Step Task (Daw) <-> exp0,0.6298385230749013,0.1949732486622644,0.6469344608879493,0.4587737843551797,-0.18816067653276958,0.18816067653276958
digit span,go/no-go task,digit span <-> go/no-go task,0.5364116094934758,0.13333313909838584,0.30655391120507397,0.11733615221987315,-0.18921775898520082,0.18921775898520082
Multi-Step Sequential RL (3+ states),Unidimensional Threshold Rule,Multi-Step Sequential R... <-> Unidimensional Threshol...,0.6585995071921018,0.2126918485511322,0.7346723044397463,0.5443974630021141,-0.19027484143763218,0.19027484143763218
Weather Prediction Task (Cards),exp7,Weather Prediction Task... <-> exp7,0.6058630953445833,0.18213634343549012,0.5750528541226215,0.38372093023255816,-0.19133192389006337,0.19133192389006337
contextual bandit task,exp3,contextual bandit task <-> exp3,0.8341320288744838,0.26146670340203526,0.9799154334038055,0.7875264270613108,-0.19238900634249467,0.19238900634249467
Contextual Bandit,exp3,Contextual Bandit <-> exp3,0.8491122070588157,0.2625805379247156,0.9883720930232558,0.7949260042283298,-0.19344608879492597,0.19344608879492597
Two-Armed Bandit,Two-Step Task (Daw),Two-Armed Bandit <-> Two-Step Task (Daw),0.5978562566502572,0.17696413796881605,0.5486257928118393,0.35517970401691334,-0.19344608879492597,0.19344608879492597
Weather Prediction Task (Cards),exp,Weather Prediction Task... <-> exp,0.5916124492485163,0.17317381816743493,0.5285412262156448,0.3308668076109937,-0.19767441860465113,0.19767441860465113
columbia card task,intertemporal choice,columbia card task <-> intertemporal choice,0.6205926223588135,0.18796474385391082,0.620507399577167,0.42177589852008457,-0.19873150105708248,0.19873150105708248
exp,weather prediction task,exp <-> weather prediction task,0.5864419038852163,0.17013876842621123,0.5095137420718816,0.3097251585623679,-0.19978858350951373,0.19978858350951373
choice task,columbia card task,choice task <-> columbia card task,0.6153388315041651,0.18613288885770274,0.6078224101479915,0.4080338266384778,-0.19978858350951373,0.19978858350951373
digit span,go/no-go,digit span <-> go/no-go,0.5385455279251224,0.13278555510855083,0.31606765327695563,0.11627906976744186,-0.19978858350951378,0.19978858350951378
Multi-Step Sequential RL (3+ states),category learning task,Multi-Step Sequential R... <-> category learning task,0.6545352824949449,0.20839488914834925,0.7251585623678647,0.5243128964059197,-0.20084566596194497,0.20084566596194497
Iowa Gambling Task (IGT),recent probes task,Iowa Gambling Task (IGT) <-> recent probes task,0.7668621523623981,0.24373053268369038,0.9164904862579282,0.7156448202959831,-0.20084566596194509,0.20084566596194509
category learning task,exp3,category learning task <-> exp3,0.8933360823552448,0.2631975635924807,1.0,0.7991543340380549,-0.20084566596194509,0.20084566596194509
Two-Step Task (Daw),contextual bandit task,Two-Step Task (Daw) <-> contextual bandit task,0.5660521008816504,0.1545405715511644,0.4260042283298097,0.22304439746300211,-0.2029598308668076,0.2029598308668076
Recent Probes,gambling task,Recent Probes <-> gambling task,0.7383071277813148,0.23776772590791573,0.8932346723044398,0.6892177589852009,-0.20401691331923888,0.20401691331923888
Iowa Gambling Task (IGT),Recent Probes,Iowa Gambling Task (IGT) <-> Recent Probes,0.7688557561404021,0.24372354416496678,0.9186046511627907,0.7145877378435518,-0.20401691331923888,0.20401691331923888
Unidimensional Threshold Rule,Verbal Digit/Letter WM,Unidimensional Threshol... <-> Verbal Digit/Letter WM,0.5658211177408021,0.154294864452583,0.4249471458773784,0.21987315010570824,-0.20507399577167018,0.20507399577167018
category learning task,exp2,category learning task <-> exp2,0.8919541802252164,0.26182860839497935,0.9989429175475687,0.7906976744186046,-0.20824524312896409,0.20824524312896409
Contextual Bandit,Verbal Digit/Letter WM,Contextual Bandit <-> Verbal Digit/Letter WM,0.5947106785310066,0.17338701331140483,0.5412262156448203,0.33298097251585623,-0.20824524312896409,0.20824524312896409
Verbal Digit/Letter WM,exp1,Verbal Digit/Letter WM <-> exp1,0.5631769709113443,0.1497462228014046,0.41014799154334036,0.19873150105708245,-0.2114164904862579,0.2114164904862579
Contextual Bandit,go/no-go,Contextual Bandit <-> go/no-go,0.5512097377080286,0.1397678708584691,0.36257928118393234,0.14799154334038056,-0.21458773784355178,0.21458773784355178
Recent Probes,iowa gambling task,Recent Probes <-> iowa gambling task,0.7707878813197537,0.24131179051157425,0.9207188160676533,0.7061310782241015,-0.21458773784355178,0.21458773784355178
exp0,exp1,exp0 <-> exp1,0.7165078510768912,0.22951504015335067,0.86892177589852,0.6543340380549683,-0.21458773784355178,0.21458773784355178
exp0,two-step task,exp0 <-> two-step task,0.6337443259136445,0.1911407627226085,0.6564482029598309,0.4408033826638478,-0.2156448202959831,0.2156448202959831
gambling task,recent probes task,gambling task <-> recent probes task,0.7460311420703972,0.23762959413193774,0.9038054968287527,0.6871035940803383,-0.2167019027484144,0.2167019027484144
iowa gambling task,recent probes task,iowa gambling task <-> recent probes task,0.7713071923876578,0.24113217576650392,0.9228329809725159,0.7050739957716702,-0.2177589852008457,0.2177589852008457
Columbia Card Task (CCT),two-armed bandit task,Columbia Card Task (CCT) <-> two-armed bandit task,0.5386526419255854,0.12753358521203295,0.3171247357293869,0.09830866807610994,-0.21881606765327694,0.21881606765327694
iowa gambling task,n-back,iowa gambling task <-> n-back,0.6313988482869667,0.1892435425057304,0.6501057082452432,0.4312896405919662,-0.218816067653277,0.218816067653277
balloon analogue risk task,iowa gambling task,balloon analogue risk t... <-> iowa gambling task,0.6049701077580848,0.17674574707712254,0.5708245243128964,0.35200845665961944,-0.218816067653277,0.218816067653277
exp1,exp3,exp1 <-> exp3,0.8565800312757662,0.25788599574232807,0.992600422832981,0.773784355179704,-0.218816067653277,0.218816067653277
Columbia Card Task (CCT),exp0,Columbia Card Task (CCT) <-> exp0,0.6459522511686896,0.19910853832493136,0.6945031712473573,0.47463002114164904,-0.21987315010570824,0.21987315010570824
columbia card task,two-armed bandit task,columbia card task <-> two-armed bandit task,0.535908857596398,0.12380082700657302,0.3044397463002114,0.08456659619450317,-0.21987315010570824,0.21987315010570824
Contextual Bandit,go/no-go task,Contextual Bandit <-> go/no-go task,0.5549516428734802,0.14199507367831932,0.38160676532769555,0.16173361522198731,-0.21987315010570824,0.21987315010570824
Unidimensional Threshold Rule,exp0,Unidimensional Threshol... <-> exp0,0.7404927507488738,0.23482184882717716,0.8974630021141649,0.6765327695560254,-0.22093023255813948,0.22093023255813948
Verbal Digit/Letter WM,gambling task,Verbal Digit/Letter WM <-> gambling task,0.6764823217955173,0.21445867629228377,0.7822410147991543,0.5613107822410148,-0.22093023255813948,0.22093023255813948
exp7,weather prediction task,exp7 <-> weather prediction task,0.6074426009577618,0.17899538025203054,0.587737843551797,0.3668076109936575,-0.22093023255813954,0.22093023255813954
Contextual Bandit,two-step task,Contextual Bandit <-> two-step task,0.5768523489860538,0.15683630035686136,0.4630021141649049,0.23995771670190275,-0.22304439746300214,0.22304439746300214
Fixed-Set Intertemporal Choice,columbia card task,Fixed-Set Intertemporal... <-> columbia card task,0.6286445066114044,0.18739602429715407,0.6416490486257929,0.4186046511627907,-0.22304439746300214,0.22304439746300214
Iowa Gambling Task (IGT),category learning task,Iowa Gambling Task (IGT) <-> category learning task,0.7071410670332894,0.2256848580039552,0.8520084566596194,0.627906976744186,-0.2241014799154334,0.2241014799154334
Verbal Digit/Letter WM,go/no-go task,Verbal Digit/Letter WM <-> go/no-go task,0.548669551043769,0.13543409274205465,0.3488372093023256,0.12473572938689217,-0.22410147991543342,0.22410147991543342
Route Learning / Decision-Point Navigation,category learning task,Route Learning / Decisi... <-> category learning task,0.6507631468002845,0.20093231077786644,0.7103594080338267,0.48520084566596194,-0.22515856236786475,0.22515856236786475
Verbal Digit/Letter WM,go/no-go,Verbal Digit/Letter WM <-> go/no-go,0.5491029320998524,0.13559412782487446,0.35200845665961944,0.12579281183932348,-0.22621564482029596,0.22621564482029596
Unidimensional Threshold Rule,exp3,Unidimensional Threshol... <-> exp3,0.8662847753817772,0.2572073595619805,0.9968287526427061,0.7706131078224101,-0.226215644820296,0.226215644820296
exp1,exp2,exp1 <-> exp2,0.8516115657672717,0.25555099705594875,0.9915433403805497,0.7642706131078224,-0.2272727272727273,0.2272727272727273
contextual bandit task,exp2,contextual bandit task <-> exp2,0.8055942350840594,0.24899072070712003,0.9630021141649049,0.733615221987315,-0.2293868921775899,0.2293868921775899
Weather Prediction Task (Cards),route learning,Weather Prediction Task... <-> route learning,0.629206616788799,0.18696246856191567,0.6448202959830867,0.41331923890063427,-0.2315010570824524,0.2315010570824524
Weather Prediction Task (Cards),n-back,Weather Prediction Task... <-> n-back,0.5762197508811218,0.15513697489733358,0.4587737843551797,0.22727272727272727,-0.23150105708245242,0.23150105708245242
Columbia Card Task (CCT),Go/No-Go (withhold),Columbia Card Task (CCT) <-> Go/No-Go (withhold),0.7310106819986312,0.22959791474902036,0.8890063424947146,0.6564482029598309,-0.2325581395348837,0.2325581395348837
category learning task,iowa gambling task,category learning task <-> iowa gambling task,0.6967818718456007,0.22147271991707784,0.8350951374207188,0.6025369978858351,-0.2325581395348837,0.2325581395348837
Verbal Digit/Letter WM,category learning task,Verbal Digit/Letter WM <-> category learning task,0.5688788196081072,0.15022403339298174,0.4355179704016913,0.2029598308668076,-0.23255813953488372,0.23255813953488372
Iowa Gambling Task (IGT),n-back,Iowa Gambling Task (IGT) <-> n-back,0.6400257769791361,0.19265707587386804,0.678646934460888,0.44608879492600423,-0.23255813953488375,0.23255813953488375
Columbia Card Task (CCT),choice task,Columbia Card Task (CCT) <-> choice task,0.6282103724975201,0.18596003330601618,0.638477801268499,0.4059196617336152,-0.23255813953488375,0.23255813953488375
Contextual Bandit,exp2,Contextual Bandit <-> exp2,0.8170542630768517,0.24958469363850178,0.9693446088794926,0.7357293868921776,-0.233615221987315,0.233615221987315
exp5,weather prediction task,exp5 <-> weather prediction task,0.6374504049703569,0.18956480510279794,0.6680761099365751,0.4334038054968288,-0.2346723044397463,0.2346723044397463
Weather Prediction Task (Cards),exp5,Weather Prediction Task... <-> exp5,0.6418563700670403,0.19298557562053487,0.6839323467230444,0.44820295983086683,-0.23572938689217754,0.23572938689217754
Columbia Card Task (CCT),go/no-go task,Columbia Card Task (CCT) <-> go/no-go task,0.7429131753657306,0.23041447707217866,0.9006342494714588,0.6606765327695561,-0.2399577167019027,0.2399577167019027
Iowa Gambling Task (IGT),exp1,Iowa Gambling Task (IGT) <-> exp1,0.7254943519312191,0.22765099589841364,0.8816067653276956,0.6416490486257929,-0.2399577167019027,0.2399577167019027
category learning task,route learning,category learning task <-> route learning,0.6547898563261785,0.20118377860240744,0.726215644820296,0.48625792811839325,-0.23995771670190275,0.23995771670190275
Iowa Gambling Task (IGT),balloon analogue risk task,Iowa Gambling Task (IGT) <-> balloon analogue risk t...,0.6143696788534507,0.17757002898906127,0.6004228329809725,0.3594080338266385,-0.24101479915433405,0.24101479915433405
Columbia Card Task (CCT),intertemporal choice,Columbia Card Task (CCT) <-> intertemporal choice,0.632274058819821,0.18630961622398612,0.6522198731501057,0.41014799154334036,-0.2420718816067653,0.2420718816067653
category learning task,gambling task,category learning task <-> gambling task,0.6950689622162796,0.21838358321781792,0.8276955602536998,0.5856236786469344,-0.2420718816067654,0.2420718816067654
Unidimensional Threshold Rule,exp2,Unidimensional Threshol... <-> exp2,0.8666311460766989,0.25393745796586364,0.9978858350951374,0.7536997885835095,-0.2441860465116279,0.2441860465116279
Go/No-Go (withhold),exp5,Go/No-Go (withhold) <-> exp5,0.5400141855256303,0.12171227018445319,0.3224101479915433,0.07822410147991543,-0.2441860465116279,0.2441860465116279
exp1,gambling task,exp1 <-> gambling task,0.6989907730798924,0.21929969211653688,0.8393234672304439,0.595137420718816,-0.2441860465116279,0.2441860465116279
Go/No-Go (withhold),columbia card task,Go/No-Go (withhold) <-> columbia card task,0.7220110375943384,0.22646382500006068,0.8773784355179705,0.6331923890063424,-0.244186046511628,0.244186046511628
exp1,iowa gambling task,exp1 <-> iowa gambling task,0.7119321605524171,0.22336484103827292,0.861522198731501,0.6162790697674418,-0.2452431289640592,0.2452431289640592
Four-Armed Bandit,Weather Prediction Task (Cards),Four-Armed Bandit <-> Weather Prediction Task...,0.6111378690331136,0.17534609998005246,0.5930232558139535,0.346723044397463,-0.24630021141649056,0.24630021141649056
Route Learning / Decision-Point Navigation,Weather Prediction Task (Cards),Route Learning / Decisi... <-> Weather Prediction Task...,0.6390213505811948,0.1879736023882499,0.6733615221987315,0.42389006342494717,-0.2494714587737843,0.2494714587737843
route learning,weather prediction task,route learning <-> weather prediction task,0.6295055774200203,0.18474547676655684,0.645877378435518,0.3964059196617336,-0.24947145877378435,0.24947145877378435
category learning task,exp0,category learning task <-> exp0,0.7560447926591372,0.22992944711011576,0.9090909090909091,0.6585623678646935,-0.2505285412262156,0.2505285412262156
Iowa Gambling Task (IGT),Unidimensional Threshold Rule,Iowa Gambling Task (IGT) <-> Unidimensional Threshol...,0.733603602891594,0.2275606489988048,0.8911205073995772,0.6405919661733616,-0.2505285412262156,0.2505285412262156
Weather Prediction Task (Cards),two-step task,Weather Prediction Task... <-> two-step task,0.6144901251167656,0.17645465805504945,0.6025369978858351,0.35095137420718814,-0.251585623678647,0.251585623678647
Weather Prediction Task (Cards),exp3,Weather Prediction Task... <-> exp3,0.7724725551188976,0.23389511491795567,0.927061310782241,0.6744186046511628,-0.2526427061310782,0.2526427061310782
contextual bandit task,digit span,contextual bandit task <-> digit span,0.5797024333558689,0.15433976327514431,0.47463002114164904,0.22093023255813954,-0.2536997885835095,0.2536997885835095
columbia card task,go/no-go task,columbia card task <-> go/no-go task,0.7374768567992067,0.22696324392553158,0.8921775898520085,0.6374207188160677,-0.2547568710359408,0.2547568710359408
Unidimensional Threshold Rule,iowa gambling task,Unidimensional Threshol... <-> iowa gambling task,0.7199823907494689,0.22339794882272712,0.8742071881606766,0.6173361522198731,-0.2568710359408034,0.2568710359408034
Weather Prediction Task (Cards),four-armed bandit task,Weather Prediction Task... <-> four-armed bandit task,0.6143285601778542,0.17461948418552997,0.5993657505285412,0.34249471458773784,-0.2568710359408034,0.2568710359408034
Iowa Gambling Task (IGT),Verbal Digit/Letter WM,Iowa Gambling Task (IGT) <-> Verbal Digit/Letter WM,0.7132717488478756,0.22154405093725293,0.8636363636363636,0.6035940803382663,-0.2600422832980973,0.2600422832980973
Columbia Card Task (CCT),go/no-go,Columbia Card Task (CCT) <-> go/no-go,0.7471531636520224,0.2287537013713581,0.9059196617336153,0.645877378435518,-0.2600422832980973,0.2600422832980973
columbia card task,exp0,columbia card task <-> exp0,0.6432138427338654,0.18879722266718235,0.6892177589852009,0.4281183932346723,-0.26109936575052856,0.26109936575052856
Go/No-Go (withhold),Weather Prediction Task (Cards),Go/No-Go (withhold) <-> Weather Prediction Task...,0.5819750669943284,0.15457367335974603,0.48625792811839325,0.22410147991543342,-0.2621564482029598,0.2621564482029598
Route Learning / Decision-Point Navigation,weather prediction task,Route Learning / Decisi... <-> weather prediction task,0.6398434153861903,0.18661359296757551,0.6744186046511628,0.41226215644820297,-0.2621564482029598,0.2621564482029598
Weather Prediction Task (Cards),exp2,Weather Prediction Task... <-> exp2,0.7720915855873153,0.2305194466024072,0.9249471458773785,0.6627906976744186,-0.2621564482029599,0.2621564482029599
Four-Armed Bandit,weather prediction task,Four-Armed Bandit <-> weather prediction task,0.6071986584361067,0.17242956421455713,0.5866807610993657,0.32346723044397463,-0.2632135306553911,0.2632135306553911
exp1,route learning,exp1 <-> route learning,0.6571787270592038,0.19805505071292528,0.7325581395348837,0.46723044397463004,-0.26532769556025365,0.26532769556025365
exp1,exp5,exp1 <-> exp5,0.6841948686767527,0.21216623963036696,0.8076109936575053,0.5422832980972516,-0.2653276955602537,0.2653276955602537
Contextual Bandit,Two-Step Task (Daw),Contextual Bandit <-> Two-Step Task (Daw),0.5846512098174224,0.15567216648469184,0.4989429175475687,0.23255813953488372,-0.266384778012685,0.266384778012685
Unidimensional Threshold Rule,gambling task,Unidimensional Threshol... <-> gambling task,0.7128621255639107,0.2200630481117899,0.8625792811839323,0.5961945031712473,-0.266384778012685,0.266384778012685
n-back,weather prediction task,n-back <-> weather prediction task,0.5805521016800679,0.1524131256501916,0.47674418604651164,0.20930232558139536,-0.2674418604651163,0.2674418604651163
Go/No-Go (withhold),weather prediction task,Go/No-Go (withhold) <-> weather prediction task,0.5805355593424903,0.15131060080630654,0.47568710359408034,0.20613107822410148,-0.26955602536997886,0.26955602536997886
columbia card task,go/no-go,columbia card task <-> go/no-go,0.7403798129803806,0.22503249865979702,0.8953488372093024,0.6257928118393234,-0.2695560253699789,0.2695560253699789
four-armed bandit task,weather prediction task,four-armed bandit task <-> weather prediction task,0.6103263954935101,0.1713077545387024,0.5909090909090909,0.3202959830866808,-0.27061310782241016,0.27061310782241016
Route Learning / Decision-Point Navigation,exp1,Route Learning / Decisi... <-> exp1,0.6605048368616911,0.1982557749380096,0.7420718816067653,0.4704016913319239,-0.2716701902748414,0.2716701902748414
Two-Step Task (Daw),Weather Prediction Task (Cards),Two-Step Task (Daw) <-> Weather Prediction Task...,0.6245315366069462,0.17721256754389658,0.63107822410148,0.3583509513742072,-0.27272727272727276,0.27272727272727276
exp3,weather prediction task,exp3 <-> weather prediction task,0.7712662052208517,0.22877084916769863,0.9217758985200846,0.6469344608879493,-0.2748414376321353,0.2748414376321353
Columbia Card Task (CCT),Fixed-Set Intertemporal Choice,Columbia Card Task (CCT) <-> Fixed-Set Intertemporal...,0.6398530335939263,0.18547647518075971,0.6754756871035941,0.39957716701902746,-0.2758985200845666,0.2758985200845666
Verbal Digit/Letter WM,iowa gambling task,Verbal Digit/Letter WM <-> iowa gambling task,0.7141364433866579,0.218497139931771,0.8657505285412262,0.587737843551797,-0.2780126849894292,0.2780126849894292
exp1,exp7,exp1 <-> exp7,0.662112924388002,0.19806911807712124,0.7473572938689218,0.4682875264270613,-0.2790697674418605,0.2790697674418605
category learning task,exp7,category learning task <-> exp7,0.6726216130615676,0.20225999843039322,0.7748414376321353,0.49471458773784355,-0.28012684989429176,0.28012684989429176
Unidimensional Threshold Rule,route learning,Unidimensional Threshol... <-> route learning,0.6803408615593647,0.20564949537367672,0.7959830866807611,0.514799154334038,-0.2811839323467231,0.2811839323467231
digit span,gambling task,digit span <-> gambling task,0.6692002151023231,0.1999841498537679,0.7674418604651163,0.4799154334038055,-0.2875264270613108,0.2875264270613108
exp2,weather prediction task,exp2 <-> weather prediction task,0.7722256817730102,0.22688181364575988,0.9260042283298098,0.635306553911205,-0.2906976744186047,0.2906976744186047
Unidimensional Threshold Rule,exp5,Unidimensional Threshol... <-> exp5,0.7070051181852944,0.21435754984204214,0.8509513742071881,0.5591966173361522,-0.2917547568710359,0.2917547568710359
Route Learning / Decision-Point Navigation,Unidimensional Threshold Rule,Route Learning / Decisi... <-> Unidimensional Threshol...,0.6829528005600511,0.20473931004460177,0.8023255813953488,0.5095137420718816,-0.2928118393234672,0.2928118393234672
Columbia Card Task (CCT),exp1,Columbia Card Task (CCT) <-> exp1,0.7770245525591323,0.22691879118842406,0.9323467230443975,0.6363636363636364,-0.2959830866807611,0.2959830866807611
Go/No-Go (withhold),category learning task,Go/No-Go (withhold) <-> category learning task,0.5810800860286658,0.1466747930430451,0.4809725158562368,0.1839323467230444,-0.2970401691331924,0.2970401691331924
Columbia Card Task (CCT),Two-Armed Bandit,Columbia Card Task (CCT) <-> Two-Armed Bandit,0.5573077827843127,0.12678289694278544,0.39323467230443976,0.09513742071881606,-0.2980972515856237,0.2980972515856237
exp,exp1,exp <-> exp1,0.6360987667419841,0.1785851231021396,0.6638477801268499,0.36469344608879495,-0.2991543340380549,0.2991543340380549
category learning task,n-back,category learning task <-> n-back,0.5707859150946126,0.138895580471866,0.4450317124735729,0.14376321353065538,-0.3012684989429175,0.3012684989429175
two-step task,weather prediction task,two-step task <-> weather prediction task,0.614568946477665,0.16937722896052965,0.6046511627906976,0.3023255813953488,-0.3023255813953488,0.3023255813953488
exp5,go/no-go task,exp5 <-> go/no-go task,0.5537622045802185,0.12082753276537428,0.3784355179704017,0.07505285412262157,-0.3033826638477801,0.3033826638477801
category learning task,exp5,category learning task <-> exp5,0.7092935908557334,0.21344913519439745,0.8562367864693446,0.5517970401691332,-0.3044397463002114,0.3044397463002114
Two-Armed Bandit,columbia card task,Two-Armed Bandit <-> columbia card task,0.5564225263244441,0.12338653724370541,0.3858350951374207,0.08139534883720931,-0.3044397463002114,0.3044397463002114
